rack_type,rack_spaces,Comments,Latitude,Longitude,x,y
Lightning Bolt Rack,152,,38.53690462,-121.75751988,6631029.055652425,1957441.7340562493
Lightning Bolt Rack,33,,38.53716025,-121.75721961,6631114.695573002,1957535.0573604256
Lightning Bolt Rack,56,,38.53738973,-121.75794507,6630906.962720752,1957618.076551333
Lightning Bolt Rack,143,,38.53734369,-121.75666883,6631272.057791084,1957602.2836039215
Lightning Bolt Rack,108,1 broken. ,38.53734476,-121.75628703,6631381.265249833,1957602.9666734189
Lightning Bolt Rack,45,,38.53712333,-121.75588601,6631496.189560667,1957522.6344850063
Lightning Bolt Rack,39,,38.53677764,-121.75614372,6631422.812082753,1957396.5428736657
Lightning Bolt Rack,30,,38.53680076,-121.75640752,6631347.332574919,1957404.760705009
Lightning Bolt Rack,25,,38.53707305,-121.75659853,6631292.431438014,1957503.7769111693
Lightning Bolt Rack,668,,38.53645908,-121.75645957,6631332.7784701735,1957280.2891691774
Coat Hanger Rack,112,,38.53708406,-121.75121268,6632832.972976342,1957511.9589814246
Coat Hanger Rack,56,,38.53701672,-121.75142322,6632772.817912921,1957487.2710386664
Lightning Bolt Rack,20,,38.53729085,-121.75172275,6632686.8659850955,1957586.8672961742
Lightning Bolt Rack,17,,38.53737261,-121.7516896,6632696.2678691745,1957616.669073835
Coat Hanger Rack,14,,38.53734634,-121.75173215,6632684.122224167,1957607.070667833
Lightning Bolt Rack,36,,38.53731426,-121.75179933,6632664.9405040145,1957595.3334865868
Coat Hanger Rack,14,,38.53729153,-121.75196393,6632617.880886838,1957586.9263511747
Lightning Bolt Rack,10,,38.5372482,-121.75196588,6632617.365796,1957571.1461990029
Lightning Bolt Rack,25,,38.53738468,-121.75210955,6632576.136547759,1957620.735338673
Lightning Bolt Rack,34,,38.53746317,-121.75199204,6632609.670273334,1957649.4144151658
Lightning Bolt Rack,15,,38.53727604,-121.75223965,6632539.02901043,1957581.0717040896
Lightning Bolt Rack,20,,38.53745875,-121.75229701,6632522.442757502,1957647.5666498393
